iLink,Ch,SiPM,Layer,Bar,End
1,36,0,1,0,0
1,37,1,1,1,0
1,38,2,1,2,0
1,39,3,1,3,0
1,40,4,2,0,0
1,41,5,2,1,0
1,42,6,2,2,0
1,43,7,2,3,0
1,45,8,3,0,0
1,46,9,3,1,0
1,47,10,3,2,0
1,48,11,3,3,0
1,49,12,4,0,0
1,50,13,4,1,0
1,51,14,4,2,0
1,52,15,4,3,0
1,54,16,5,0,0
1,55,17,5,1,0
1,56,18,5,2,0
1,57,19,5,3,0
1,58,20,6,0,0
1,59,21,6,1,0
1,60,22,6,2,0
1,61,23,6,3,0
0,22,24,6,0,1
0,23,25,6,1,1
0,24,26,6,2,1
0,25,27,6,3,1
0,18,28,5,0,1
0,19,29,5,1,1
0,20,30,5,2,1
0,21,31,5,3,1
0,13,32,4,0,1
0,14,33,4,1,1
0,15,34,4,2,1
0,16,35,4,3,1
0,9,36,3,0,1
0,10,37,3,1,1
0,11,38,3,2,1
0,12,39,3,3,1
0,4,40,2,0,1
0,5,41,2,1,1
0,6,42,2,2,1
0,7,43,2,3,1
0,0,44,1,0,1
0,1,45,1,1,1
0,2,46,1,2,1
0,3,47,1,3,1
